country,bloc,subgroup,tfr_start,tfr_end,abs_change,growth
Armenia,Rest of post-Soviet,Caucasus,1.426,1.714,0.289,0.00878
Azerbaijan,Rest of post-Soviet,Caucasus,1.621,1.689,0.068,0.00195
Belarus,Rest of post-Soviet,Eastern European,1.238,1.302,0.063,0.00236
Estonia,Rest of post-Soviet,Baltic,1.339,1.451,0.113,0.00385
Georgia,Rest of post-Soviet,Caucasus,1.586,1.87,0.284,0.00783
Kazakhstan,Central Asia,Central Asia,1.92,3.127,1.207,0.02323
Kyrgyzstan,Central Asia,Central Asia,2.563,2.833,0.271,0.00478
Latvia,Rest of post-Soviet,Baltic,1.242,1.46,0.218,0.00771
Lithuania,Rest of post-Soviet,Baltic,1.299,1.277,-0.022,-0.00081
Moldova,Rest of post-Soviet,Eastern European,1.472,1.725,0.254,0.00757
Russia,Rest of post-Soviet,Eastern European,1.233,1.469,0.236,0.00835
Tajikistan,Central Asia,Central Asia,3.483,3.123,-0.36,-0.0052
Ukraine,Rest of post-Soviet,Eastern European,1.109,1.007,-0.102,-0.00458
Uzbekistan,Central Asia,Central Asia,2.627,3.39,0.763,0.01214
