country,bloc,TFR_2000,TFR_2010,TFR_2017,TFR_2023,change_2000_2023,change_2017_2023,estimate_method_2023
Kazakhstan,Central Asia,1.9,2.61,2.75,3.01,1.11,0.27,Projection
Kyrgyzstan,Central Asia,2.58,3.1,3.04,2.8,0.22,-0.24,Projection
Tajikistan,Central Asia,3.49,3.46,3.29,3.07,-0.42,-0.22,Projection
Uzbekistan,Central Asia,2.7,2.44,2.57,3.5,0.8,0.93,Projection
Armenia,Rest of post-Soviet,1.47,1.59,1.56,1.71,0.24,0.15,Projection
Azerbaijan,Rest of post-Soviet,1.7,1.92,1.96,1.67,-0.03,-0.29,Projection
Belarus,Rest of post-Soviet,1.27,1.48,1.55,1.21,-0.06,-0.34,Projection
Estonia,Rest of post-Soviet,1.35,1.72,1.6,1.35,0.0,-0.25,Projection
Georgia,Rest of post-Soviet,1.61,1.97,2.14,1.81,0.2,-0.33,Projection
Latvia,Rest of post-Soviet,1.24,1.37,1.7,1.34,0.09,-0.36,Interpolation
Lithuania,Rest of post-Soviet,1.38,1.5,1.63,1.2,-0.18,-0.43,Interpolation
Moldova,Rest of post-Soviet,1.5,1.7,1.81,1.73,0.23,-0.08,Projection
Russia,Rest of post-Soviet,1.19,1.59,1.63,1.45,0.26,-0.18,Interpolation
Ukraine,Rest of post-Soviet,1.11,1.44,1.3,0.98,-0.13,-0.32,Projection
