country,mean_tfr,mean_log_gdp_ppp,mean_urban,mean_remittances,mean_under5_mort,bloc,ca,smam_female,smam_year,smam_source,muslim_share,muslim_share_year,muslim_share_source,female_mean_schooling,schooling_year,schooling_source,smam_marital_basis,smam_computation_type,smam_hajnal_method,smam_missing_age_treatment,smam_comparability_note
Armenia,1.5741677083333334,9.290597876173775,64.71458648116662,14.435842601989153,18.420833333333334,Rest of post-Soviet,0,24.1,2015,UN WMD 2019,0.266757637,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.88,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
Azerbaijan,1.879417875,9.619617823985815,54.47421449359587,2.8035026103200313,38.637499999999996,Rest of post-Soviet,0,24.2,2018,UN WMD 2019,94.72725677,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.29,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
Belarus,1.419948875,9.961547550424493,74.81096240499151,1.424686247576366,6.041666666666667,Rest of post-Soviet,0,23.08,2019,Author-computed MICS6 Hajnal,0.262307256,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.24,2020,Wittgenstein Centre v3 SSP2,"Married/in-union (MICS6 MSTATUS category), not legal marital status",Author-computed (MICS6 women's survey microdata),"Author-applied standard Hajnal (1953) indirect estimate SMAM=(A-D)/C from weighted proportions never-married/in-union in 5-year age groups 15-19 to 45-49 (MSTATUS=3, never married/in-union), MICS6 women's questionnaire",None required -- MICS6 women's survey has full coverage of all 5-year age groups 15-49,"NOT directly comparable to the 9 UN WMD-sourced values: married/in-union (not legal marital-status) basis, typically lower than a legal-marriage SMAM where informal/religious unions are common; for Belarus (Eastern European bloc, not Central Asia) this gap is expected to be smaller than for the Central Asian MICS6 countries"
Estonia,1.5441567083333334,10.410773326923076,68.39387383174305,1.5192644516709013,4.979166666666667,Rest of post-Soviet,0,33.6,2018,UN WMD 2019,0.598115027,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.59,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
Georgia,1.8694469583333333,9.392368318677395,55.89620902511803,9.946764599087928,16.6125,Rest of post-Soviet,0,22.16,2018,Author-computed MICS6 Hajnal,10.46078014,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.07,2020,Wittgenstein Centre v3 SSP2,"Married/in-union (MICS6 MSTATUS category), not legal marital status",Author-computed (MICS6 women's survey microdata),"Author-applied standard Hajnal (1953) indirect estimate SMAM=(A-D)/C from weighted proportions never-married/in-union in 5-year age groups 15-19 to 45-49 (MSTATUS=3, never married/in-union), MICS6 women's questionnaire",None required -- MICS6 women's survey has full coverage of all 5-year age groups 15-49,"NOT directly comparable to the 9 UN WMD-sourced values: married/in-union (not legal marital-status) basis, typically lower than a legal-marriage SMAM where informal/religious unions are common; for Georgia (Caucasus bloc, not Central Asia) this gap is expected to be smaller than for the Central Asian MICS6 countries"
Kazakhstan,2.591878,10.144480457009434,56.448651318191786,0.20414063550821634,20.7,Central Asia,1,22.4,2015,UN WMD 2019,77.90452576,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",11.83,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
Kyrgyzstan,2.9237897499999996,8.513847318290766,35.12691236015228,21.376704428589022,29.5,Central Asia,1,21.4,2018,Author-computed MICS6 Hajnal,91.71746826,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",10.82,2020,Wittgenstein Centre v3 SSP2,"Married/in-union (MICS6 MSTATUS category), not legal marital status",Author-computed (MICS6 women's survey microdata),"Author-applied standard Hajnal (1953) indirect estimate SMAM=(A-D)/C from weighted proportions never-married/in-union in 5-year age groups 15-19 to 45-49 (MSTATUS=3, never married/in-union), MICS6 women's questionnaire",None required -- MICS6 women's survey has full coverage of all 5-year age groups 15-49,"NOT directly comparable to the 9 UN WMD-sourced values: married/in-union (not legal marital-status) basis, typically lower than a legal-marriage SMAM where informal/religious unions are common; Kyrgyzstan is part of the Central Asia bloc, where informal/religious marriage is more prevalent, so this definitional gap is most consequential here"
Latvia,1.475755625,10.195438498530615,67.96750170163347,3.7690084515258246,7.4375,Rest of post-Soviet,0,30.4,2018,UN WMD 2019,0.670408607,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.46,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
Lithuania,1.4493946666666666,10.3141303656394,67.10637953180118,2.5630388689682913,6.383333333333333,Rest of post-Soviet,0,32.7,2018,UN WMD 2019,0.089217022,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",12.42,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
Moldova,1.6664548333333336,9.232390926879152,40.06567923227946,21.51875104978932,18.545833333333334,Rest of post-Soviet,0,25.0,2014,UN WMD 2019,0.181239218,2020,"Pew Research Center, Religious Composition by Country 2010-2020 (2020, percentages)",10.51,2020,Wittgenstein Centre v3 SSP2,Legal marital status,Published (UN Statistics Division),UN Statistics Division indirect Hajnal estimate derived from national census/survey marital-status tabulations (UN World Marriage Data 2019 methodology); not re-derived by the author,N/A -- published UN estimate; no author-side age-group adjustment,"Comparable across the 9 UN WMD-sourced countries (legal marital status, published UN estimate); NOT directly comparable to the 4 MICS6-based or the 1 census-based author-computed values (different marital-status basis and/or computation method)"
