year,mean,SD,IQR,CV
2000,1.749,0.696,0.557,0.398
2001,1.712,0.697,0.575,0.407
2002,1.716,0.689,0.596,0.402
2003,1.738,0.667,0.629,0.384
2004,1.799,0.682,0.834,0.379
2005,1.805,0.655,0.88,0.363
2006,1.848,0.643,0.933,0.348
2007,1.909,0.638,0.909,0.334
2008,1.968,0.631,0.915,0.321
2009,1.987,0.636,0.903,0.32
2010,1.991,0.659,0.804,0.331
2011,1.987,0.659,0.699,0.332
2012,2.03,0.639,0.689,0.315
2013,2.048,0.639,0.778,0.312
2014,2.109,0.645,0.804,0.306
2015,2.121,0.642,0.785,0.302
2016,2.111,0.616,0.779,0.292
2017,2.037,0.625,0.858,0.307
2018,2.05,0.69,0.969,0.337
2019,2.044,0.724,1.054,0.354
2020,2.02,0.741,1.266,0.367
2021,2.025,0.778,1.141,0.384
2022,1.938,0.802,1.142,0.414
2023,1.917,0.82,1.212,0.428
