,SD,SD,IQR,IQR
bloc,Central Asia,Rest of post-Soviet,Central Asia,Rest of post-Soviet
year,,,,
2000,0.653,0.187,0.488,0.238
2001,0.651,0.165,0.444,0.226
2002,0.624,0.153,0.385,0.199
2003,0.562,0.145,0.405,0.202
2004,0.562,0.229,0.427,0.252
2005,0.496,0.228,0.436,0.231
2006,0.435,0.221,0.452,0.255
2007,0.396,0.193,0.375,0.255
2008,0.36,0.164,0.346,0.233
2009,0.409,0.176,0.499,0.229
2010,0.463,0.202,0.618,0.229
2011,0.501,0.192,0.677,0.111
2012,0.495,0.206,0.678,0.128
2013,0.448,0.212,0.607,0.17
2014,0.416,0.234,0.565,0.174
2015,0.403,0.242,0.559,0.208
2016,0.358,0.234,0.437,0.219
2017,0.319,0.234,0.404,0.213
2018,0.298,0.238,0.472,0.204
2019,0.247,0.228,0.408,0.222
2020,0.074,0.218,0.091,0.236
2021,0.193,0.237,0.185,0.306
2022,0.241,0.274,0.204,0.345
2023,0.293,0.278,0.22,0.463
