year,cv
2000,0.3981074842232877
2001,0.40720486874004735
2002,0.40162312674765577
2003,0.3835650784590592
2004,0.37930773406015544
2005,0.3628377977252263
2006,0.3477715107022087
2007,0.33402648926238315
2008,0.3209009533877413
2009,0.3201606417152858
2010,0.3311085867431386
2011,0.33170354999920393
2012,0.3149002694755081
2013,0.31190861255641933
2014,0.3056578120813025
2015,0.3024142207644159
2016,0.29185219300226506
2017,0.3069883820365843
2018,0.336686202197276
2019,0.3542818196275045
2020,0.3666209421730453
2021,0.3842884678639167
2022,0.4137801518185829
2023,0.4279243514905262
