year,Central Asia,Rest of post-Soviet
2000,0.24485909738294165,0.1356615182625656
2001,0.24680928563034396,0.1226946313129897
2002,0.2360346951091658,0.11369438470322081
2003,0.21223462375268068,0.10584862540569592
2004,0.2073417822787726,0.1598864511647206
2005,0.1846356828926918,0.1572832321407162
2006,0.15929779634915117,0.14749713961804614
2007,0.14114818803759005,0.12439925819817042
2008,0.12548979009930425,0.10230207811026158
2009,0.1418312289861918,0.10809222603272242
2010,0.159503202345867,0.1241614462243823
2011,0.17335127352499402,0.11836138155593484
2012,0.17112549187385498,0.12222942129629354
2013,0.1533562626265216,0.12463708456483948
2014,0.13881864518556639,0.13349594422891978
2015,0.13438029894956832,0.13669182437613342
2016,0.12086154646506639,0.1322742432640992
2017,0.10951876026568927,0.13853973315345358
2018,0.09837236678284547,0.1438812982560437
2019,0.07982495869323208,0.14042278730081917
2020,0.023832180648340823,0.1374931084700644
2021,0.060891354789545014,0.15126932339718296
2022,0.07799598592936346,0.1857003270149363
2023,0.0947850560405272,0.19214406477448787
