bloc,dropped,slope,p_value
Rest of post-Soviet,Armenia,0.001548,0.0341
Rest of post-Soviet,Azerbaijan,0.003318,0.0013
Rest of post-Soviet,Belarus,0.001767,0.0077
Rest of post-Soviet,Estonia,0.001636,0.0467
Rest of post-Soviet,Georgia,0.000738,0.4847
Rest of post-Soviet,Latvia,0.001905,0.0211
Rest of post-Soviet,Lithuania,0.001677,0.0094
Rest of post-Soviet,Moldova,0.001579,0.0226
Rest of post-Soviet,Russia,0.001978,0.008
Rest of post-Soviet,Ukraine,0.000256,0.6321
Central Asia,Kazakhstan,-0.004699,0.0
Central Asia,Kyrgyzstan,-0.010462,0.0
Central Asia,Tajikistan,-0.002045,0.1321
Central Asia,Uzbekistan,-0.010774,0.0
