country,year,tfr,estimate_method,subgroup,bloc
Estonia,2000,1.347264,Interpolation,Baltic,Rest of post-Soviet
Estonia,2001,1.315406,Interpolation,Baltic,Rest of post-Soviet
Estonia,2002,1.353164,Interpolation,Baltic,Rest of post-Soviet
Estonia,2003,1.364778,Interpolation,Baltic,Rest of post-Soviet
Estonia,2004,1.464967,Interpolation,Baltic,Rest of post-Soviet
Estonia,2005,1.514667,Interpolation,Baltic,Rest of post-Soviet
Estonia,2006,1.582784,Interpolation,Baltic,Rest of post-Soviet
Estonia,2007,1.684803,Interpolation,Baltic,Rest of post-Soviet
Estonia,2008,1.718613,Interpolation,Baltic,Rest of post-Soviet
Estonia,2009,1.700792,Interpolation,Baltic,Rest of post-Soviet
Estonia,2010,1.715837,Interpolation,Baltic,Rest of post-Soviet
Estonia,2011,1.615645,Interpolation,Baltic,Rest of post-Soviet
Estonia,2012,1.561469,Interpolation,Baltic,Rest of post-Soviet
Estonia,2013,1.5239,Interpolation,Baltic,Rest of post-Soviet
Estonia,2014,1.542711,Interpolation,Baltic,Rest of post-Soviet
Estonia,2015,1.580458,Interpolation,Baltic,Rest of post-Soviet
Estonia,2016,1.603494,Interpolation,Baltic,Rest of post-Soviet
Estonia,2017,1.595724,Interpolation,Baltic,Rest of post-Soviet
Estonia,2018,1.670176,Interpolation,Baltic,Rest of post-Soviet
Estonia,2019,1.661437,Interpolation,Baltic,Rest of post-Soviet
Estonia,2020,1.587592,Interpolation,Baltic,Rest of post-Soviet
Estonia,2021,1.59408,Interpolation,Baltic,Rest of post-Soviet
Estonia,2022,1.41,Interpolation,Baltic,Rest of post-Soviet
Estonia,2023,1.35,Projection,Baltic,Rest of post-Soviet
Latvia,2000,1.244485,Interpolation,Baltic,Rest of post-Soviet
Latvia,2001,1.222852,Interpolation,Baltic,Rest of post-Soviet
Latvia,2002,1.257519,Interpolation,Baltic,Rest of post-Soviet
Latvia,2003,1.32183,Interpolation,Baltic,Rest of post-Soviet
Latvia,2004,1.296752,Interpolation,Baltic,Rest of post-Soviet
Latvia,2005,1.389376,Interpolation,Baltic,Rest of post-Soviet
Latvia,2006,1.463824,Interpolation,Baltic,Rest of post-Soviet
Latvia,2007,1.542382,Interpolation,Baltic,Rest of post-Soviet
Latvia,2008,1.585392,Interpolation,Baltic,Rest of post-Soviet
Latvia,2009,1.471832,Interpolation,Baltic,Rest of post-Soviet
Latvia,2010,1.367074,Interpolation,Baltic,Rest of post-Soviet
Latvia,2011,1.342888,Interpolation,Baltic,Rest of post-Soviet
Latvia,2012,1.444325,Interpolation,Baltic,Rest of post-Soviet
Latvia,2013,1.527422,Interpolation,Baltic,Rest of post-Soviet
Latvia,2014,1.64598,Interpolation,Baltic,Rest of post-Soviet
Latvia,2015,1.706456,Interpolation,Baltic,Rest of post-Soviet
Latvia,2016,1.742342,Interpolation,Baltic,Rest of post-Soviet
Latvia,2017,1.698427,Interpolation,Baltic,Rest of post-Soviet
Latvia,2018,1.61249,Interpolation,Baltic,Rest of post-Soviet
Latvia,2019,1.609161,Interpolation,Baltic,Rest of post-Soviet
Latvia,2020,1.5462,Interpolation,Baltic,Rest of post-Soviet
Latvia,2021,1.5716,Interpolation,Baltic,Rest of post-Soviet
Latvia,2022,1.47,Interpolation,Baltic,Rest of post-Soviet
Latvia,2023,1.337526,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2000,1.383066,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2001,1.281169,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2002,1.231351,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2003,1.26048,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2004,1.271054,Interpolation,Baltic,Rest of post-Soviet
