country,year,tfr,estimate_method,subgroup,bloc,gdp_per_capita_ppp,urban_pop_pct,remittances_gdp_pct,under5_mortality,gdp_per_capita_ppp_missing,urban_pop_pct_missing,remittances_gdp_pct_missing,under5_mortality_missing,gdp_per_capita_ppp_lag1,urban_pop_pct_lag1,remittances_gdp_pct_lag1,under5_mortality_lag1,log_gdp_ppp,log_gdp_ppp_lag1,ca
Armenia,2000,1.469829,Interpolation,Caucasus,Rest of post-Soviet,4589.00825039977,64.959237917436,9.52937131880005,30.6,False,False,False,False,,,,,8.431419212257627,,0
Armenia,2001,1.402,Interpolation,Caucasus,Rest of post-Soviet,5044.11647826468,64.8228123790872,9.87694921780921,29.1,False,False,False,False,4589.00825039977,64.959237917436,9.52937131880005,30.6,8.525977789257652,8.431419212257627,0
Armenia,2002,1.405,Interpolation,Caucasus,Rest of post-Soviet,5731.35346609213,64.7396211980252,11.1049155369612,27.7,False,False,False,False,5044.11647826468,64.8228123790872,9.87694921780921,29.1,8.653706988813186,8.525977789257652,0
Armenia,2003,1.472834,Interpolation,Caucasus,Rest of post-Soviet,6569.26023440631,64.6663537455064,11.9648272324739,26.4,False,False,False,False,5731.35346609213,64.7396211980252,11.1049155369612,27.7,8.790156507636237,8.653706988813186,0
Armenia,2004,1.490542,Interpolation,Caucasus,Rest of post-Soviet,7299.40001858866,64.5972633621116,22.0185694314846,25.1,False,False,False,False,6569.26023440631,64.6663537455064,11.9648272324739,26.4,8.895547434524332,8.790156507636237,0
Armenia,2005,1.492145,Interpolation,Caucasus,Rest of post-Soviet,8362.90084037119,64.5334210637509,18.6763974290117,23.9,False,False,False,False,7299.40001858866,64.5972633621116,22.0185694314846,25.1,9.031560636366498,8.895547434524332,0
Armenia,2006,1.494005,Interpolation,Caucasus,Rest of post-Soviet,9525.23146779778,64.4758978663344,18.3128176140903,22.7,False,False,False,False,8362.90084037119,64.5334210637509,18.6763974290117,23.9,9.161699500780767,9.031560636366498,0
Armenia,2007,1.519056,Interpolation,Caucasus,Rest of post-Soviet,10898.8483795634,64.4257647857723,17.86140864212,21.6,False,False,False,False,9525.23146779778,64.4758978663344,18.3128176140903,22.7,9.296412409384473,9.161699500780767,0
Armenia,2008,1.541028,Interpolation,Caucasus,Rest of post-Soviet,11727.4821272949,64.3840928379746,16.3270491787545,20.6,False,False,False,False,10898.8483795634,64.4257647857723,17.86140864212,21.6,9.36969026620187,9.296412409384473,0
Armenia,2009,1.574183,Interpolation,Caucasus,Rest of post-Soviet,10143.2350796867,64.3519530388516,16.6491640509821,19.6,False,False,False,False,11727.4821272949,64.3840928379746,16.3270491787545,20.6,9.224562267651514,9.36969026620187,0
Armenia,2010,1.587759,Interpolation,Caucasus,Rest of post-Soviet,10438.5641904169,64.3304164043132,18.0268391620613,18.7,False,False,False,False,10143.2350796867,64.3519530388516,16.6491640509821,19.6,9.253262322325007,9.224562267651514,0
Armenia,2011,1.615303,Interpolation,Caucasus,Rest of post-Soviet,10990.177099035,64.3207449145194,17.7342226487981,17.8,False,False,False,False,10438.5641904169,64.3304164043132,18.0268391620613,18.7,9.304757161829704,9.253262322325007,0
Armenia,2012,1.647433,Interpolation,Caucasus,Rest of post-Soviet,11796.2741177994,64.3268379506998,18.0330178717679,16.9,False,False,False,False,10990.177099035,64.3207449145194,17.7342226487981,17.8,9.375539007864504,9.304757161829704,0
Armenia,2013,1.668943,Interpolation,Caucasus,Rest of post-Soviet,12194.0189523843,64.3584061131466,19.7113773941979,16.1,False,False,False,False,11796.2741177994,64.3268379506998,18.0330178717679,16.9,9.408700860705055,9.375539007864504,0
Armenia,2014,1.663358,Interpolation,Caucasus,Rest of post-Soviet,12667.3757330249,64.4142934233291,17.9044398383763,15.4,False,False,False,False,12194.0189523843,64.3584061131466,19.7113773941979,16.1,9.44678512739667,9.408700860705055,0
Armenia,2015,1.62067,Interpolation,Caucasus,Rest of post-Soviet,13112.7600902915,64.4929623431549,14.1327414277054,14.7,False,False,False,False,12667.3757330249,64.4142934233291,17.9044398383763,15.4,9.481341087801754,9.44678512739667,0
Armenia,2016,1.6248,Interpolation,Caucasus,Rest of post-Soviet,13192.9940731731,64.5928753345316,13.1074628255062,14.0,False,False,False,False,13112.7600902915,64.4929623431549,14.1327414277054,14.7,9.487441215643404,9.481341087801754,0
Armenia,2017,1.56087,Interpolation,Caucasus,Rest of post-Soviet,14243.8749003795,64.7124948593667,13.3477446383999,13.3,False,False,False,False,13192.9940731731,64.5928753345316,13.1074628255062,14.0,9.564082261740419,9.487441215643404,0
Armenia,2018,1.56746,Interpolation,Caucasus,Rest of post-Soviet,15037.0452420712,64.8502833795679,11.9427034082853,12.7,False,False,False,False,14243.8749003795,64.7124948593667,13.3477446383999,13.3,9.618272118234373,9.564082261740419,0
Armenia,2019,1.60075,Interpolation,Caucasus,Rest of post-Soviet,16215.3607965094,65.0047033570428,11.2189210772298,12.1,False,False,False,False,15037.0452420712,64.8502833795679,11.9427034082853,12.7,9.693714269280761,9.618272118234373,0
Armenia,2020,1.619121,Interpolation,Caucasus,Rest of post-Soviet,15052.9359791136,65.174217253699,10.4970552541265,11.6,False,False,False,False,16215.3607965094,65.0047033570428,11.2189210772298,12.1,9.619328332819745,9.693714269280761,0
Armenia,2021,1.7095,Interpolation,Caucasus,Rest of post-Soviet,15921.705281964,65.3572875314441,11.2171827452107,11.0,False,False,False,False,15052.9359791136,65.174217253699,10.4970552541265,11.6,9.675438569363154,9.619328332819745,0
