country,year,gdp_per_capita_ppp
Armenia,2000,4589.00825039977
Armenia,2001,5044.11647826468
Armenia,2002,5731.35346609213
Armenia,2003,6569.26023440631
Armenia,2004,7299.40001858866
Armenia,2005,8362.90084037119
Armenia,2006,9525.23146779778
Armenia,2007,10898.8483795634
Armenia,2008,11727.4821272949
Armenia,2009,10143.2350796867
Armenia,2010,10438.5641904169
Armenia,2011,10990.177099035
Armenia,2012,11796.2741177994
Armenia,2013,12194.0189523843
Armenia,2014,12667.3757330249
Armenia,2015,13112.7600902915
Armenia,2016,13192.9940731731
Armenia,2017,14243.8749003795
Armenia,2018,15037.0452420712
Armenia,2019,16215.3607965094
Armenia,2020,15052.9359791136
Armenia,2021,15921.705281964
Armenia,2022,17886.1783877168
Armenia,2023,19402.7510915578
Azerbaijan,2000,5656.92989378687
Azerbaijan,2001,6168.98512059749
Azerbaijan,2002,6701.08174444207
Azerbaijan,2003,7329.40601818943
Azerbaijan,2004,7937.8594791002
Azerbaijan,2005,10054.1003389401
Azerbaijan,2006,13371.6585214534
Azerbaijan,2007,16587.3657240228
Azerbaijan,2008,17963.0208126838
Azerbaijan,2009,19242.3900077231
Azerbaijan,2010,19925.3900662137
Azerbaijan,2011,19358.0778100345
Azerbaijan,2012,19523.3737161356
Azerbaijan,2013,20398.6462250349
Azerbaijan,2014,20709.201611232
Azerbaijan,2015,20678.7539572375
Azerbaijan,2016,19822.4105943941
Azerbaijan,2017,19659.0048562768
Azerbaijan,2018,19781.8509058437
Azerbaijan,2019,20101.491875147
Azerbaijan,2020,19126.096851126
Azerbaijan,2021,20111.3756952109
Azerbaijan,2022,21051.2442291612
Azerbaijan,2023,21310.7386915022
Belarus,2000,11182.4548339393
Belarus,2001,11771.0872003861
Belarus,2002,12443.9322575939
Belarus,2003,13413.9265504854
Belarus,2004,15052.1182160947
Belarus,2005,16579.8731683834
Belarus,2006,18349.8719060634
Belarus,2007,20019.6111676728
Belarus,2008,22137.9472928315
Belarus,2009,22236.8387691136
Belarus,2010,24012.6133040213
Belarus,2011,25404.7566082412
Belarus,2012,25879.1319400701
Belarus,2013,26147.6253584645
Belarus,2014,26564.4347246547
Belarus,2015,25513.2132958317
Belarus,2016,24846.8301529359
Belarus,2017,25503.9809845207
Belarus,2018,26363.4629778536
Belarus,2019,26798.8206398076
Belarus,2020,26731.4953869922
Belarus,2021,27611.1801135157
Belarus,2022,26537.5083081674
Belarus,2023,27782.4380139967
Estonia,2000,20528.5708195573
Estonia,2001,21874.6948334875
Estonia,2002,23539.9060675759
Estonia,2003,25487.5329152987
Estonia,2004,27384.0831488798
Estonia,2005,30164.0063711861
Estonia,2006,33304.5935377333
Estonia,2007,35989.864986622
Estonia,2008,34236.950125417
Estonia,2009,29284.4047394108
Estonia,2010,30070.2990791103
Estonia,2011,32456.1208864878
Estonia,2012,33768.572369804
Estonia,2013,34484.2236457273
Estonia,2014,35723.6266134228
Estonia,2015,36356.4410152614
Estonia,2016,37470.0427676805
Estonia,2017,39533.4645582199
Estonia,2018,40853.6487755073
Estonia,2019,42218.962853871
Estonia,2020,40920.5270623015
Estonia,2021,44251.5374983455
Estonia,2022,43128.6327713627
Estonia,2023,41288.6165892158
