country,year,remittances_gdp_pct
Armenia,2000,9.52937131880005
Armenia,2001,9.87694921780921
Armenia,2002,11.1049155369612
Armenia,2003,11.9648272324739
Armenia,2004,22.0185694314846
Armenia,2005,18.6763974290117
Armenia,2006,18.3128176140903
Armenia,2007,17.86140864212
Armenia,2008,16.3270491787545
Armenia,2009,16.6491640509821
Armenia,2010,18.0268391620613
Armenia,2011,17.7342226487981
Armenia,2012,18.0330178717679
Armenia,2013,19.7113773941979
Armenia,2014,17.9044398383763
Armenia,2015,14.1327414277054
Armenia,2016,13.1074628255062
Armenia,2017,13.3477446383999
Armenia,2018,11.9427034082853
Armenia,2019,11.2189210772298
Armenia,2020,10.4970552541265
Armenia,2021,11.2171827452107
Armenia,2022,10.8688335174113
Armenia,2023,6.39621098617553
Azerbaijan,2000,1.08356085483563
Azerbaijan,2001,1.82431677750395
Azerbaijan,2002,2.61890157505979
Azerbaijan,2003,2.14332251762401
Azerbaijan,2004,2.34525903598978
Azerbaijan,2005,4.70528614042723
Azerbaijan,2006,3.7661645945845
Azerbaijan,2007,3.83587676218684
Azerbaijan,2008,3.10805893221251
Azerbaijan,2009,2.8326399787509
Azerbaijan,2010,2.66549763240316
Azerbaijan,2011,2.87035592504128
Azerbaijan,2012,2.85617334250334
Azerbaijan,2013,2.33704815215702
Azerbaijan,2014,2.45405271812669
Azerbaijan,2015,2.3927167997352
Azerbaijan,2016,1.69843941411199
Azerbaijan,2017,2.77334116720313
Azerbaijan,2018,2.60183768470009
Azerbaijan,2019,2.64699324657026
Azerbaijan,2020,3.2864567961961
Azerbaijan,2021,2.78454087413308
Azerbaijan,2022,5.012251973723
Azerbaijan,2023,2.64096975190127
Belarus,2000,0.896610533841336
Belarus,2001,0.543917266438404
Belarus,2002,0.552247667216307
Belarus,2003,0.920594142453945
Belarus,2004,1.034502146352
Belarus,2005,0.657396214062099
Belarus,2006,0.725612161429094
Belarus,2007,0.636765248499207
Belarus,2008,0.960131319014907
Belarus,2009,0.990305944135918
Belarus,2010,1.00520855385655
Belarus,2011,1.44197805594884
Belarus,2012,1.60323623987362
Belarus,2013,1.60669829212816
Belarus,2014,1.56230434080626
Belarus,2015,1.64999344176125
Belarus,2016,2.04636934122529
Belarus,2017,2.29107483588373
Belarus,2018,2.40842124890758
Belarus,2019,2.20275770985534
Belarus,2020,1.65173922227239
Belarus,2021,1.95829075886733
Belarus,2022,2.51903986221285
Belarus,2023,2.32727539479038
Estonia,2000,0.0712666387766335
Estonia,2001,0.176325007110157
Estonia,2002,0.259819126338696
Estonia,2003,0.518470913867566
Estonia,2004,1.37364276049152
Estonia,2005,1.80452851603841
Estonia,2006,2.30322072048345
Estonia,2007,1.69834419061507
Estonia,2008,1.7102671944637
Estonia,2009,1.73195269947209
Estonia,2010,1.8289159181023
Estonia,2011,1.88230425106787
Estonia,2012,1.98247424575578
Estonia,2013,2.21914951049391
Estonia,2014,2.01038525239817
Estonia,2015,1.96158904837248
Estonia,2016,1.98070961291692
Estonia,2017,1.83873745060341
Estonia,2018,1.82689423284705
Estonia,2019,1.70019299478304
Estonia,2020,1.59281791364911
Estonia,2021,1.58570663884137
Estonia,2022,1.22967848244244
Estonia,2023,1.17495352017049
Georgia,2000,6.73529202312621
Georgia,2001,6.79115752466275
Georgia,2002,6.66503181205268
Georgia,2003,6.22476000287562
Georgia,2004,6.99638215069328
Georgia,2005,6.95697266099558
Georgia,2006,8.09978657953664
Georgia,2007,8.68054072402569
Georgia,2008,8.3236359191983
Georgia,2009,10.3243983088381
Georgia,2010,9.52719496152171
Georgia,2011,9.99835475121327
Georgia,2012,10.4775310757486
Georgia,2013,11.1047071149006
Georgia,2014,11.056847673479
Georgia,2015,9.5819813727681
Georgia,2016,9.84674425354464
Georgia,2017,10.890132380253
Georgia,2018,11.3631244569541
Georgia,2019,12.8028589642654
Georgia,2020,13.1764161481873
Georgia,2021,14.0238156359641
Georgia,2022,15.4242760609985
Georgia,2023,13.6504078223071
Kazakhstan,2000,0.368863297858754
Kazakhstan,2001,0.383878450645308
Kazakhstan,2002,0.451556685268236
Kazakhstan,2003,0.136856101332743
Kazakhstan,2004,0.132966722215831
Kazakhstan,2005,0.108574815738916
Kazakhstan,2006,0.103192446831978
Kazakhstan,2007,0.136377234008485
Kazakhstan,2008,0.0941014656535349
Kazakhstan,2009,0.171887472539219
Kazakhstan,2010,0.152354119782252
Kazakhstan,2011,0.0932936660895134
Kazakhstan,2012,0.136051344243071
Kazakhstan,2013,0.144275547930533
Kazakhstan,2014,0.181279445291607
Kazakhstan,2015,0.15959228908192
Kazakhstan,2016,0.27984417174788
Kazakhstan,2017,0.33597213131325
Kazakhstan,2018,0.344618856879696
Kazakhstan,2019,0.278573150811193
Kazakhstan,2020,0.218836862121885
Kazakhstan,2021,0.157213071084416
Kazakhstan,2022,0.213219830288597
Kazakhstan,2023,0.115996073438374
