country,year,under5_mortality
Armenia,2000,30.6
Armenia,2001,29.1
Armenia,2002,27.7
Armenia,2003,26.4
Armenia,2004,25.1
Armenia,2005,23.9
Armenia,2006,22.7
Armenia,2007,21.6
Armenia,2008,20.6
Armenia,2009,19.6
Armenia,2010,18.7
Armenia,2011,17.8
Armenia,2012,16.9
Armenia,2013,16.1
Armenia,2014,15.4
Armenia,2015,14.7
Armenia,2016,14.0
Armenia,2017,13.3
Armenia,2018,12.7
Armenia,2019,12.1
Armenia,2020,11.6
Armenia,2021,11.0
Armenia,2022,10.5
Armenia,2023,10.0
Azerbaijan,2000,74.3
Azerbaijan,2001,69.3
Azerbaijan,2002,64.4
Azerbaijan,2003,59.9
Azerbaijan,2004,55.8
Azerbaijan,2005,52.1
Azerbaijan,2006,48.7
Azerbaijan,2007,45.7
Azerbaijan,2008,42.9
Azerbaijan,2009,40.2
Azerbaijan,2010,37.8
Azerbaijan,2011,35.5
Azerbaijan,2012,33.4
Azerbaijan,2013,31.4
Azerbaijan,2014,29.6
Azerbaijan,2015,27.9
Azerbaijan,2016,26.5
Azerbaijan,2017,25.1
Azerbaijan,2018,23.8
Azerbaijan,2019,22.7
Azerbaijan,2020,21.5
Azerbaijan,2021,20.5
Azerbaijan,2022,19.6
Azerbaijan,2023,18.7
Belarus,2000,12.8
Belarus,2001,11.8
Belarus,2002,10.9
Belarus,2003,10.1
Belarus,2004,9.4
Belarus,2005,8.7
Belarus,2006,8.0
Belarus,2007,7.3
Belarus,2008,6.6
Belarus,2009,6.1
Belarus,2010,5.6
Belarus,2011,5.2
Belarus,2012,4.9
Belarus,2013,4.6
Belarus,2014,4.3
Belarus,2015,4.1
Belarus,2016,3.9
Belarus,2017,3.6
Belarus,2018,3.4
Belarus,2019,3.1
Belarus,2020,2.9
Belarus,2021,2.7
Belarus,2022,2.6
Belarus,2023,2.4
Estonia,2000,11.0
Estonia,2001,10.1
Estonia,2002,9.3
Estonia,2003,8.5
Estonia,2004,7.8
Estonia,2005,7.1
Estonia,2006,6.5
Estonia,2007,5.9
Estonia,2008,5.4
Estonia,2009,5.0
Estonia,2010,4.6
Estonia,2011,4.2
Estonia,2012,3.9
Estonia,2013,3.6
Estonia,2014,3.4
Estonia,2015,3.2
Estonia,2016,3.0
Estonia,2017,2.8
Estonia,2018,2.7
Estonia,2019,2.5
Estonia,2020,2.4
Estonia,2021,2.3
Estonia,2022,2.2
Estonia,2023,2.1
Georgia,2000,35.8
Georgia,2001,33.4
Georgia,2002,30.9
Georgia,2003,28.3
Georgia,2004,25.8
Georgia,2005,23.3
Georgia,2006,21.0
Georgia,2007,19.0
Georgia,2008,17.1
Georgia,2009,15.5
Georgia,2010,14.2
Georgia,2011,13.1
Georgia,2012,12.2
Georgia,2013,11.5
Georgia,2014,11.0
Georgia,2015,10.6
Georgia,2016,10.2
Georgia,2017,10.0
Georgia,2018,9.8
Georgia,2019,9.6
Georgia,2020,9.4
Georgia,2021,9.2
Georgia,2022,9.0
Georgia,2023,8.8
Kazakhstan,2000,42.1
Kazakhstan,2001,39.6
Kazakhstan,2002,37.2
Kazakhstan,2003,35.1
Kazakhstan,2004,33.0
Kazakhstan,2005,31.0
Kazakhstan,2006,28.9
Kazakhstan,2007,26.8
Kazakhstan,2008,24.7
Kazakhstan,2009,22.5
Kazakhstan,2010,20.4
Kazakhstan,2011,18.3
Kazakhstan,2012,16.3
Kazakhstan,2013,14.5
Kazakhstan,2014,13.0
Kazakhstan,2015,11.9
Kazakhstan,2016,11.0
Kazakhstan,2017,10.5
Kazakhstan,2018,10.3
Kazakhstan,2019,10.2
Kazakhstan,2020,10.1
Kazakhstan,2021,10.0
Kazakhstan,2022,9.8
Kazakhstan,2023,9.6
Kyrgyzstan,2000,50.8
Kyrgyzstan,2001,48.1
Kyrgyzstan,2002,45.5
Kyrgyzstan,2003,43.0
Kyrgyzstan,2004,40.9
Kyrgyzstan,2005,39.2
Kyrgyzstan,2006,37.6
Kyrgyzstan,2007,35.9
Kyrgyzstan,2008,33.8
Kyrgyzstan,2009,31.6
Kyrgyzstan,2010,29.5
Kyrgyzstan,2011,27.6
Kyrgyzstan,2012,26.0
Kyrgyzstan,2013,24.7
Kyrgyzstan,2014,23.5
Kyrgyzstan,2015,22.3
Kyrgyzstan,2016,21.1
Kyrgyzstan,2017,20.0
Kyrgyzstan,2018,19.0
Kyrgyzstan,2019,18.3
Kyrgyzstan,2020,17.8
Kyrgyzstan,2021,17.5
Kyrgyzstan,2022,17.3
Kyrgyzstan,2023,17.0
Latvia,2000,14.3
Latvia,2001,13.4
Latvia,2002,12.6
Latvia,2003,11.9
Latvia,2004,11.1
Latvia,2005,10.5
Latvia,2006,9.9
Latvia,2007,9.3
Latvia,2008,8.8
Latvia,2009,8.3
Latvia,2010,7.7
Latvia,2011,7.2
Latvia,2012,6.6
Latvia,2013,6.1
Latvia,2014,5.6
Latvia,2015,5.1
Latvia,2016,4.8
Latvia,2017,4.5
Latvia,2018,4.2
Latvia,2019,3.9
Latvia,2020,3.6
Latvia,2021,3.3
Latvia,2022,3.0
Latvia,2023,2.8
Lithuania,2000,10.7
Lithuania,2001,10.3
Lithuania,2002,9.9
Lithuania,2003,9.6
Lithuania,2004,9.3
Lithuania,2005,9.0
Lithuania,2006,8.6
Lithuania,2007,8.0
Lithuania,2008,7.3
Lithuania,2009,6.7
Lithuania,2010,6.1
Lithuania,2011,5.6
Lithuania,2012,5.3
Lithuania,2013,5.1
Lithuania,2014,5.1
Lithuania,2015,5.0
Lithuania,2016,4.8
Lithuania,2017,4.5
Lithuania,2018,4.2
Lithuania,2019,3.9
Lithuania,2020,3.7
Lithuania,2021,3.6
Lithuania,2022,3.5
Lithuania,2023,3.4
Moldova,2000,31.4
Moldova,2001,28.5
Moldova,2002,25.8
Moldova,2003,23.4
Moldova,2004,21.5
Moldova,2005,20.1
Moldova,2006,19.0
Moldova,2007,18.2
Moldova,2008,17.7
Moldova,2009,17.2
Moldova,2010,16.8
Moldova,2011,16.5
Moldova,2012,16.2
Moldova,2013,16.0
Moldova,2014,15.8
Moldova,2015,15.6
Moldova,2016,15.5
Moldova,2017,15.4
Moldova,2018,15.4
Moldova,2019,15.5
Moldova,2020,15.6
Moldova,2021,15.8
Moldova,2022,16.0
Moldova,2023,16.2
Russia,2000,19.4
Russia,2001,18.4
Russia,2002,17.3
Russia,2003,16.1
Russia,2004,15.0
Russia,2005,13.9
Russia,2006,12.8
Russia,2007,12.0
Russia,2008,11.3
Russia,2009,10.7
Russia,2010,10.4
Russia,2011,10.2
Russia,2012,9.9
Russia,2013,9.5
Russia,2014,8.9
Russia,2015,8.2
Russia,2016,7.5
Russia,2017,6.9
Russia,2018,6.4
Russia,2019,6.0
Russia,2020,5.7
Russia,2021,5.5
Russia,2022,5.4
Russia,2023,5.3
Tajikistan,2000,78.4
Tajikistan,2001,71.8
Tajikistan,2002,65.6
Tajikistan,2003,59.8
Tajikistan,2004,54.6
Tajikistan,2005,50.3
Tajikistan,2006,46.6
Tajikistan,2007,43.6
Tajikistan,2008,41.2
Tajikistan,2009,39.3
Tajikistan,2010,37.6
Tajikistan,2011,36.2
Tajikistan,2012,35.0
Tajikistan,2013,34.0
Tajikistan,2014,33.0
Tajikistan,2015,32.2
Tajikistan,2016,31.5
Tajikistan,2017,31.0
Tajikistan,2018,30.7
Tajikistan,2019,30.4
Tajikistan,2020,30.1
Tajikistan,2021,29.8
Tajikistan,2022,29.4
Tajikistan,2023,28.8
Ukraine,2000,18.2
Ukraine,2001,17.4
Ukraine,2002,16.6
Ukraine,2003,15.8
Ukraine,2004,15.1
Ukraine,2005,14.5
Ukraine,2006,14.0
Ukraine,2007,13.4
Ukraine,2008,12.9
Ukraine,2009,12.3
Ukraine,2010,11.7
Ukraine,2011,11.2
Ukraine,2012,10.7
Ukraine,2013,10.2
Ukraine,2014,9.8
Ukraine,2015,9.5
Ukraine,2016,9.1
Ukraine,2017,8.9
Ukraine,2018,8.7
Ukraine,2019,8.5
Ukraine,2020,8.4
Ukraine,2021,8.2
Ukraine,2022,8.5
Ukraine,2023,8.0
Uzbekistan,2000,60.7
Uzbekistan,2001,58.0
Uzbekistan,2002,55.0
Uzbekistan,2003,51.9
Uzbekistan,2004,48.6
Uzbekistan,2005,45.2
Uzbekistan,2006,41.9
Uzbekistan,2007,38.6
Uzbekistan,2008,35.5
Uzbekistan,2009,32.6
Uzbekistan,2010,29.8
Uzbekistan,2011,27.3
Uzbekistan,2012,25.0
Uzbekistan,2013,23.0
Uzbekistan,2014,21.3
Uzbekistan,2015,19.7
Uzbekistan,2016,18.4
Uzbekistan,2017,17.3
Uzbekistan,2018,16.4
Uzbekistan,2019,15.7
Uzbekistan,2020,15.1
Uzbekistan,2021,14.6
Uzbekistan,2022,14.1
Uzbekistan,2023,13.7
